cui,type,name
C0002455,pros,American Cancer Society
C0002456,pros,American Dental Association
C0002461,pros,American Medical Association
C0002463,pros,American Nurses' Association
C0002465,pros,American Public Health Association
C0033282,pros,Professional Organizations
C0037459,pros,"Societies, Medical"
C0037463,pros,"Societies, Scientific"
C1515948,pros,American Society of Clinical Oncology
C2346733,pros,American Society of Anesthesiologists
C2827395,pros,Collaborator
C4684818,pros,The Danish Head and Neck Cancer Group
