cui,type,name
C0002345,genf,Alternative Splicing
C0004390,genf,Autonomous Replication
C0007622,genf,"Cell Transformation, Viral"
C0010366,genf,"Crossing Over, Genetic"
C0012899,genf,DNA Repair
C0013458,genf,Early Gene Transcription
C0014431,genf,Enzyme Induction
C0014589,genf,"Epistasis, Genetic"
C0015219,genf,Biological Evolution
C0015249,genf,Excision Repair
C0017255,genf,Gene Activation
C0017256,genf,Gene Amplification
C0017259,genf,Gene Conversion
C0017260,genf,Gene Deletion
C0017261,genf,Gene Duplication
C0017262,genf,Gene Expression
C0017263,genf,Gene Expression Regulation
C0017269,genf,"Gene Expression Regulation, Viral"
C0017287,genf,Gene Rearrangement
C0017295,genf,"Gene Rearrangement, T-Lymphocyte"
C0017391,genf,"Induction, Genetic"
C0017393,genf,Genetic Markers
C0020202,genf,Crossbreeding
C0023099,genf,Late Gene Transcription
C0026882,genf,Mutation
C0028303,genf,"Nondisjunction, Genetic"
C0032529,genf,Genetic Polymorphism
C0034865,genf,"Recombination, Genetic"
C0035380,genf,Reverse Transcription
C0035684,genf,"RNA Processing, Post-Transcriptional"
C0035687,genf,RNA Splicing
C0036576,genf,Genetic Selection
C0037211,genf,Sister Chromatid Exchange
C0037703,genf,"SOS Response, Genetics"
C0038855,genf,"Suppression, Genetic"
C0040624,genf,"Trans-Activation, Genetic"
C0040649,genf,"Transcription, Genetic"
C0040683,genf,"Transformation, Bacterial"
C0040684,genf,"Transformation, Genetic"
C0043297,genf,X Chromosome Inactivation function
C0079394,genf,"Resting Phase, Cell Cycle"
C0079868,genf,"Mutagenesis, Insertional"
C0079870,genf,"Mutagenesis, Site-Directed"
C0086934,genf,"RNA, Messenger, Splicing"
C0162493,genf,Transcriptional Activation
C0162759,genf,Prenylation
C0162764,genf,Geranylgeranylation
C0162782,genf,RNA Editing
C0175967,genf,Chromosome replication
C0178654,genf,gene complementation
C0206071,genf,Immunoglobulin Class Switching
C0206530,genf,Germ-Line Mutation
C0241764,genf,X-linked inheritance
C0242614,genf,Genomic Imprinting
C0282572,genf,"Frameshifting, Ribosomal"
C0282630,genf,"Packaging, Virus"
C0301618,genf,Genotypic expression
C0314611,genf,Gene type
C0314613,genf,Linked gene
C0314627,genf,Gene function
C0314632,genf,Multiple alleles
C0314633,genf,Allelic exclusion
C0314634,genf,Silent alleles
C0314639,genf,Genetic behavior
C0314641,genf,Genetic transfection
C0314644,genf,Homology region
C0314648,genf,Allotype
C0376437,genf,Protein Splicing
C0376678,genf,Body Patterning
C0441748,genf,Autosomal recessive inheritance
C0443147,genf,Autosomal dominant inheritance
C0443976,genf,Monoclonal gene rearrangement
C0524550,genf,Nucleotide Excision Repair
C0524869,genf,Loss of Heterozygosity
C0525038,genf,Amino Acid Substitution
C0596336,genf,chromosome movement
C0596456,genf,DNA replication origin
C0596609,genf,Gene-Environment Interaction
C0596610,genf,gene interaction
C0596611,genf,Gene Mutation
C0597257,genf,pleiotropism
C0597360,genf,receptor expression
C0597415,genf,RNA methylation
C0597600,genf,Transcription Termination
C0598174,genf,chromosome loss
C0598175,genf,Chromosome Segregation
C0598312,genf,DNA Replication
C0598314,genf,replicator
C0598494,genf,derepression
C0598495,genf,genetic silencer
C0598496,genf,Gene Silencing
C0598508,genf,genetic promoter sequence
C0599155,genf,Missense Mutation
C0599176,genf,7-methylguanosine mRNA capping
C0599177,genf,protein activation
C0599283,genf,receptor density
C0599559,genf,genetic inhibitor
C0599773,genf,Homologous Recombination
C0599945,genf,antitermination
