cui,type,name
C0001038,moft,Acetylation
C0001801,moft,agglutination
C0002145,moft,Allosteric Regulation
C0003255,moft,Antibody Affinity
C0003256,moft,Antibody Avidity
C0003259,moft,Antibody Diversity
C0003264,moft,Antibody Specificity
C0003314,moft,Antigen-Antibody Reactions
C0003319,moft,Antigenic Variation
C0005458,moft,"Binding, Competitive"
C0008858,moft,Citric Acid Cycle
C0009528,moft,Complement Activation
C0009546,moft,"Complement Pathway, Alternative"
C0009547,moft,"Complement Pathway, Classical"
C0010357,moft,Cross Reactions
C0013081,moft,Down-Regulation
C0013846,moft,Electron Transport
C0014274,moft,Energy Transfer
C0014429,moft,Enzyme Activation
C0015852,moft,Fermentation
C0017715,moft,Gluconeogenesis
C0017952,moft,Glycolysis
C0018903,moft,Hemagglutination
C0019266,moft,Heredity
C0022013,moft,Ion Exchange
C0023745,moft,genetic linkage
C0023775,moft,Lipid Peroxidation
C0025245,moft,Membrane Fluidity
C0025246,moft,Membrane Fusion
C0025513,moft,"Activation, Metabolic"
C0025723,moft,Methylation
C0028198,moft,Nitrosation
C0030011,moft,Oxidation
C0030012,moft,Oxidation-Reduction
C0030013,moft,Oxidative Phosphorylation
C0030892,moft,Pentose Phosphate Pathway
C0031715,moft,Phosphorylation
C0031751,moft,photolysis
C0033618,moft,Protein Binding
C0033627,moft,Protein Denaturation
C0033666,moft,Post-Translational Protein Processing
C0034780,moft,Receptor Aggregation
C0034782,moft,Receptor-Mediated Signal Transduction
C0036522,moft,Second Messenger Systems
C0038337,moft,"Stimulation, Chemical"
C0041904,moft,Up-Regulation (Physiology)
C0079866,moft,Mutagenesis Process
C0086321,moft,Futile Cycles
C0086982,moft,Signal Transduction Pathways
C0162362,moft,Respiratory Chain
C0162527,moft,Ankyrin Repeat
C0162847,moft,protein folding
C0178575,moft,cross immunity
C0221105,moft,Emulsification
C0242941,moft,Antigenic Mimicry
C0242943,moft,Molecular Mimicry
C0243102,moft,enzyme activity
C0260000,moft,Secondary Metabolism
C0279023,moft,Chemosensitization
C0282517,moft,Proton-Motive Force
C0301624,moft,Passive biological transport
C0301626,moft,Competitive inhibition
C0301627,moft,Noncompetitive inhibition
C0301641,moft,Macromolecular alteration
C0301642,moft,Denaturation
C0301647,moft,Strand breaks
C0301911,moft,"Complement fixation, function"
C0301915,moft,Coprecipitation
C0302820,moft,Carbohydrate Metabolism
C0312540,moft,Prozone
C0312563,moft,Antigen excess
C0312564,moft,Antigen competition
C0312755,moft,Complement activation pathway
C0314656,moft,Synteny
C0314668,moft,Molecular stability
C0314669,moft,Molecular instability
C0314678,moft,Molecular aggregation
C0369765,moft,Oxygen affinity
C0376322,moft,Protein Glycosylation
C0376452,moft,DNA Methylation
C0376669,moft,DNA Fragmentation
C0427509,moft,pyruvate kinase activity
C0427970,moft,beta-lactamase activity
C0520913,moft,Defective metabolism
C0541989,moft,Increased Glycolysis [PE]
C0596043,moft,ADP-Ribosylation
C0596074,moft,Amino Acid Biosynthesis
C0596076,moft,amino acid metabolism
C0596177,moft,Biocompatibility
C0596247,moft,carbohydrate biosynthetic process
C0596250,moft,sugar transport
C0596324,moft,chemical substitution
C0596342,moft,cis trans isomerization
C0596480,moft,eicosanoid metabolism
C0596522,moft,enzyme biosynthesis
C0596524,moft,enzyme mechanism
C0596562,moft,Fatty acid biosynthetic process
C0596563,moft,Fatty Acid Metabolism Pathway
C0596620,moft,glucose metabolism
C0596623,moft,glycogenesis
C0596624,moft,Glycogenolysis
C0596625,moft,N-Glycan Biosynthesis Pathway
C0596715,moft,hormone biosynthetic process
C0596716,moft,hormone metabolism
C0596803,moft,iron metabolism
C0596843,moft,Adipogenesis
C0596957,moft,Molecular Dynamics
C0597062,moft,neurotransmitter biosynthesis
C0597095,moft,nucleic acid biosynthesis
C0597098,moft,nucleic acid metabolism
C0597108,moft,Nucleotide Metabolism
C0597195,moft,peptide hormone metabolism
C0597272,moft,porphyrin metabolism
C0597295,moft,Protein Biosynthesis
C0597297,moft,"Protein Degradation, Metabolic"
C0597302,moft,protein reconstitution
C0597304,moft,Proteolysis
C0597358,moft,Receptor Binding
C0597513,moft,Steroid biosynthesis
C0597517,moft,steroid hormone biosynthesis
C0597520,moft,Steroid Metabolic Process
C0597619,moft,urea cycle
C0597669,moft,vitamin biosynthetic process
C0597672,moft,vitamin metabolism
C0597879,moft,immunoreactivity
C0598390,moft,enzyme pathway
C0598434,moft,myristoylation
C0598435,moft,Palmitoylation
C0598530,moft,glucogenesis
C0598754,moft,aerobic glycolysis
C0598783,moft,Lipid Metabolism
C0598864,moft,Demethylation
C0599130,moft,carbon fixation
C0599175,moft,heme biosynthetic process
C0599471,moft,epimerization
C0599474,moft,cholesterol biosynthesis
C0599476,moft,testosterone biosynthesis
C0599739,moft,synergism
C0599816,moft,ketogenesis
C0599817,moft,ketogenic
C0599844,moft,molecular recognition
C0599845,moft,molecular domain
C0599861,moft,noradrenergic
C0600436,moft,Base Pairing
C0600448,moft,Trans-Splicing
C0600513,moft,Receptor Cross-Talk
C0678607,moft,Hydrophobic Interactions
C0678659,moft,biochemical mechanism
C0678714,moft,bile acid metabolism
C0683140,moft,Drug Metabolism
C0684285,moft,orbitals
C0752319,moft,MAP Kinase Cascade
C0813988,moft,autophosphorylation
C0872079,moft,Protein-Protein Interaction
C0872139,moft,cross reactivity immunity
C0872376,moft,molecular assembly/self assembly
C0887940,moft,Gene Order
C0920399,moft,biomaterial incompatibility
C0920641,moft,Pyrimidine Metabolism Pathway
C0920644,moft,receptor function
C0949469,moft,Receptor Down-Regulation
C0949479,moft,Receptor Up-Regulation
C0949765,moft,Polyadenylation
C0969701,moft,Conserved Synteny
C1136159,moft,T-Cell Specificity
C1136182,moft,Antigenic Diversity
C1138407,moft,"Complement Pathway, Mannose-Binding Lectin"
C1138568,moft,"Mechanotransduction, Cellular"
C1145676,moft,alcohol metabolism
C1145751,moft,insulin activity
C1148560,moft,molecular_function
C1148561,moft,anticoagulant activity
C1148564,moft,antioxidant activity
C1148575,moft,antigen binding
C1148582,moft,carbohydrate binding
C1148583,moft,polysaccharide binding
C1148584,moft,cellulose binding
C1148585,moft,chitin binding
C1148587,moft,galactose binding
C1148590,moft,glucose binding
C1148591,moft,lactose binding
C1148592,moft,lectin activity
C1148595,moft,N-acetylgalactosamine lectin
C1148596,moft,mannose binding
C1148608,moft,Heparin Binding
C1148613,moft,iron binding
C1148616,moft,heme binding
C1148621,moft,zinc ion binding
C1148622,moft,hormone binding
C1148634,moft,all-trans retinal binding
C1148636,moft,Lipid Binding
C1148641,moft,fatty acid binding
C1148642,moft,Phospholipid Binding
C1148643,moft,calcium-dependent phospholipid binding
C1148645,moft,phosphatidylinositol binding
C1148658,moft,lipopolysaccharide binding
C1148659,moft,magnesium ion binding
C1148661,moft,acetylcholine binding
C1148665,moft,nicotinic acetylcholine-activated cation-selective channel activity
C1148774,moft,androgen receptor activity
C1148776,moft,estrogen receptor activity
C1148834,moft,exoribonuclease activity
C1148916,moft,nucleotide binding
C1148918,moft,cAMP binding
C1148923,moft,atp binding
C1148926,moft,adenosinetriphosphatase activity
C1148929,moft,DNA dependent adenosinetriphosphatase activity
C1149024,moft,sodium/potassium-exchanging ATPase activity
C1149034,moft,GMP binding
C1149035,moft,GTP Binding
C1149036,moft,GTPase activity
C1149037,moft,dynamin GTPase activity
C1149054,moft,Ran guanyl-nucleotide exchange factor activity
C1149057,moft,Rho guanine nucleotide exchange factor activity
C1149060,moft,odorant binding
C1149063,moft,cytochrome P450 activity
C1149069,moft,aromatase activity
C1149098,moft,peptide binding
C1149119,moft,chemokine receptor activity
C1149142,moft,opioid receptor activity
C1149160,moft,ADP-ribosylation factor binding
C1149163,moft,cadherin binding
C1149164,moft,calmodulin binding
C1149166,moft,clathrin binding
C1149167,moft,collagen binding
C1149169,moft,cytokine binding
C1149170,moft,chemokine binding
C1149176,moft,interferon binding
C1149177,moft,interferon receptor activity
C1149183,moft,interleukin receptor activity
C1149184,moft,interleukin-1 receptor activity
C1149187,moft,interleukin-10 receptor activity
C1149188,moft,interleukin-11 receptor activity
C1149189,moft,interleukin-12 receptor activity
C1149194,moft,interleukin-17 receptor activity
C1149195,moft,interleukin-18 receptor activity
C1149199,moft,interleukin-21 receptor activity
C1149201,moft,interleukin-23 receptor activity
C1149204,moft,interleukin-26 receptor activity
C1149206,moft,interleukin-3 receptor activity
C1149207,moft,interleukin-4 receptor activity
C1149208,moft,interleukin-5 receptor activity
C1149209,moft,interleukin-6 receptor activity
C1149210,moft,interleukin-7 receptor activity
C1149211,moft,interleukin-9 receptor activity
C1149228,moft,interleukin-19 binding activity
C1149232,moft,interleukin-22 binding activity
C1149234,moft,interleukin-24 binding activity
C1149236,moft,interleukin-26 binding activity
C1149245,moft,actin binding
C1149274,moft,microtubule binding
C1149282,moft,dynein binding
C1149286,moft,enzyme binding
C1149288,moft,DEAD/H-box RNA helicase binding
C1149289,moft,kinase binding
C1149302,moft,hemoglobin binding
C1149303,moft,histone binding
C1149306,moft,immunoglobulin binding
C1149307,moft,IgA binding
C1149309,moft,IgE binding
C1149313,moft,IgG binding
C1149325,moft,high-density lipoprotein particle binding
C1149326,moft,low-density lipoprotein particle binding
C1149349,moft,SH3 domain binding
C1149381,moft,chemoattractant activity
C1149382,moft,chemokine activity
C1149384,moft,cytokine activity
C1149404,moft,interferon-alpha/beta
C1149444,moft,nerve growth factor receptor binding activity
C1149462,moft,G protein coupled receptor ligand
C1149464,moft,chemokine receptor ligand
C1149472,moft,growth factor activity
C1149475,moft,hormone activity
C1149503,moft,Integrin Binding
C1149510,moft,Notch binding
C1149527,moft,torso binding
C1149531,moft,cholesterol binding
C1149536,moft,virion binding
C1149552,moft,chaperone activity
C1149554,moft,co-chaperone activity
