cui,type,name
C0001076,bact,Acholeplasma
C0001077,bact,Acholeplasma laidlawii
C0001084,bact,Achromobacter
C0001138,bact,Acinetobacter
C0001248,bact,Actinobacillus
C0001250,bact,Actinomyces
C0001254,bact,Actinomycetales
C0001699,bact,Klebsiella pneumoniae
C0001703,bact,Aerococcus
C0001705,bact,Aeromonas
C0001830,bact,Agrobacterium
C0001930,bact,Alcaligenes
C0002794,bact,Anaplasma
C0003876,bact,Arthrobacter
C0004512,bact,Azospirillum brasilense
C0004586,bact,Bacillaceae
C0004587,bact,Bacillus <bacterium>
C0004589,bact,Bacillus anthracis
C0004590,bact,Bacillus cereus
C0004594,bact,Geobacillus stearothermophilus
C0004595,bact,Bacillus subtilis
C0004597,bact,Bacillus thuringiensis
C0004611,bact,Bacteria
C0004612,bact,"Bacteria, Aerobic"
C0004613,bact,"Bacteria, Anaerobic"
C0004661,bact,Bacteroides
C0004663,bact,Bacteroides fragilis
C0004670,bact,Prevotella melaninogenica
C0004770,bact,Bartonella
C0004892,bact,Bdellovibrio
C0005380,bact,Bifidobacterium
C0006013,bact,genus Bordetella
C0006017,bact,Bordetella pertussis
C0006033,bact,Borrelia
C0006034,bact,Borrelia burgdorferi
C0006132,bact,Moraxella catarrhalis
C0006170,bact,Brevibacterium
C0006303,bact,Brucella
C0006304,bact,Brucella abortus
C0006305,bact,Brucella melitensis
C0006792,bact,Calymmatobacterium granulomatis
C0006813,bact,Campylobacter
C0006814,bact,Campylobacter fetus
C0006819,bact,Campylobacter jejuni
C0006916,bact,Capnocytophaga
C0008148,bact,Chlamydia
C0008150,bact,Chlamydophila psittaci
C0008151,bact,Chlamydia trachomatis
C0008152,bact,Chlamydiaceae
C0008154,bact,Chlamydiales
C0008581,bact,Chromobacterium
C0008862,bact,Citrobacter
C0009054,bact,Clostridium
C0009055,bact,Clostridium botulinum
C0009063,bact,Clostridium perfringens
C0009064,bact,Clostridium tetani
C0010148,bact,Corynebacterium
C0010150,bact,Corynebacterium diphtheriae
C0010152,bact,Rhodococcus equi
C0010156,bact,Corynebacterium pyogenes
C0010239,bact,Coxiella
C0010240,bact,Coxiella burnetii
C0011731,bact,Desulfovibrio
C0013722,bact,Ehrlichia
C0014344,bact,Enterobacter
C0014346,bact,Enterobacteriaceae
C0014735,bact,Erysipelothrix
C0014738,bact,Erysipelothrix rhusiopathiae
C0014833,bact,Escherichia
C0014834,bact,Escherichia coli
C0015146,bact,Eubacterium
C0016676,bact,Francisella
C0016677,bact,Francisella tularensis
C0016880,bact,Fusobacterium necrophorum
C0016913,bact,Anaerococcus tetradius
C0016914,bact,Gaffkya homari
C0017098,bact,Gardnerella vaginalis
C0018148,bact,Gram-Negative Aerobic Bacteria
C0018149,bact,Gram-Negative Anaerobic Bacteria
C0018150,bact,Gram Negative Bacteria
C0018154,bact,Gram-Positive Bacteria
C0018155,bact,Gram-Positive Cocci
C0018479,bact,Hemophilus
C0018480,bact,Haemophilus aegyptius
C0018481,bact,Hemophilus ducreyi
C0018483,bact,Haemophilus influenzae
C0022727,bact,Klebsiella
C0022731,bact,Klebsiella rhinoscleromatis
C0022828,bact,L Forms
C0022937,bact,Lactobacillaceae
C0022938,bact,Lactobacillus
C0022939,bact,Lactobacillus acidophilus
C0022940,bact,Lactobacillus casei
C0023237,bact,Legionella
C0023238,bact,Legionella pneumophila
C0023358,bact,Leptospira
C0023362,bact,Leptospira interrogans
C0023411,bact,Leuconostoc
C0023859,bact,Listeria
C0023861,bact,Listeria monocytogenes
C0025966,bact,Micrococcus
C0025996,bact,Micromonospora
C0026536,bact,Moraxella <genus>
C0026912,bact,Genus Mycobacterium
C0026913,bact,Mycobacterium avium
C0026914,bact,Mycobacterium avium Complex
C0026917,bact,Mycobacterium bovis
C0026922,bact,Mycobacterium leprae
C0026924,bact,Mycobacterium phlei
C0026926,bact,Mycobacterium tuberculosis
C0026934,bact,Mycoplasma
C0026941,bact,Mycoplasma pneumoniae
C0026944,bact,Mycoplasmatales (bacterium)
C0027147,bact,Myxococcales
C0027571,bact,Neisseria
C0027573,bact,Neisseria gonorrhoeae
C0027575,bact,Neisseria meningitidis
C0027676,bact,Neorickettsia
C0028142,bact,Nitrobacter
C0028207,bact,Nitrosomonas
C0028240,bact,Nocardia
C0028241,bact,Nocardia asteroides
C0030411,bact,Paracoccus denitrificans
C0030635,bact,Pasteurella
C0030637,bact,Pasteurella multocida
C0030641,bact,Pasteurellaceae
C0030762,bact,Pediococcus
C0030965,bact,Peptococcus
C0030967,bact,Peptostreptococcus
C0031738,bact,Photobacterium
C0032071,bact,Plankton
C0033476,bact,Propionibacterium
C0033477,bact,Propionibacterium acnes
C0033697,bact,Proteus
C0033701,bact,Proteus mirabilis
C0033702,bact,Proteus vulgaris
C0033750,bact,Providencia
C0033807,bact,Pseudomonadaceae
C0033808,bact,Pseudomonas
C0033809,bact,Pseudomonas aeruginosa
C0033811,bact,Pseudomonas fluorescens
C0033818,bact,Burkholderia mallei
C0033819,bact,Burkholderia pseudomallei
C0035474,bact,Rhizobiaceae
C0035475,bact,Rhizobium
C0035495,bact,Rhodobacter sphaeroides
C0035496,bact,Rhodococcus
C0035497,bact,Rhodopseudomonas
C0035583,bact,Rickettsia
C0035584,bact,Rickettsia conorii
C0035587,bact,Rickettsia prowazekii
C0035588,bact,Rickettsia rickettsii
C0035589,bact,Orientia tsutsugamushi
C0035590,bact,Rickettsia typhi
C0035596,bact,Order Rickettsiales
C0035791,bact,Bartonella quintana
C0036111,bact,Salmonella
C0036113,bact,Salmonella enterica subsp. enterica serovar enteritidis
C0036120,bact,Salmonella paratyphi
C0036124,bact,Salmonella paratyphi B
C0036125,bact,Salmonella typhi
C0036126,bact,Salmonella typhimurium
C0036197,bact,Sarcina
C0036765,bact,Serratia
C0036766,bact,Serratia marcescens
C0036953,bact,Shigella
C0036955,bact,Shigella boydii
C0036956,bact,Shigella dysenteriae
C0036957,bact,Shigella flexneri
C0036960,bact,Shigella sonnei
C0037970,bact,Spirochaeta genus
C0037972,bact,Spirochaetaceae
C0037973,bact,ORDER SPIROCHAETALES
C0037986,bact,Spiroplasma
C0038028,bact,"Spores, Bacterial"
C0038170,bact,Genus staphylococcus
C0038172,bact,Staphylococcus aureus
C0038174,bact,Staphylococcus epidermidis
C0038393,bact,Streptobacillus
C0038394,bact,Streptococcaceae
C0038402,bact,Streptococcus
C0038404,bact,Enterococcus faecalis
C0038408,bact,Lactococcus lactis
C0038409,bact,Streptococcus mutans
C0038410,bact,Streptococcus pneumoniae
C0038411,bact,Streptococcus pyogenes
C0038412,bact,Streptococcus sanguis
C0038420,bact,Streptomyces
C0038421,bact,Streptomyces antibioticus
C0038423,bact,Streptomyces griseus
C0039825,bact,Thermus
C0040837,bact,Treponema
C0040840,bact,Treponema pallidum
C0041944,bact,Ureaplasma
C0042446,bact,Veillonella
C0042447,bact,Veillonellaceae
C0042628,bact,Vibrio
C0042629,bact,Vibrio cholerae
C0042637,bact,Vibrio parahaemolyticus
C0042638,bact,Vibrionaceae
C0043327,bact,Xanthomonas
C0043405,bact,Yersinia <bacteria>
C0043406,bact,Yersinia enterocolitica
C0043408,bact,Yersinia pestis
C0043409,bact,Yersinia pseudotuberculosis
C0079134,bact,Clostridium difficile
C0079488,bact,Helicobacter pylori
C0080118,bact,Rhodobacter capsulatus
C0081786,bact,Microbial Biofilms
C0085384,bact,Mycoplasma fermentans
C0085439,bact,Actinomyces viscosus
C0085440,bact,Corynebacterium pseudotuberculosis
C0085441,bact,Mycobacterium chelonae
C0085442,bact,Mycobacterium avium subsp. paratuberculosis
C0085448,bact,Caulobacter
C0085449,bact,Caulobacter crescentus
C0085455,bact,Myxococcus xanthus
C0085463,bact,Azospirillum
C0085464,bact,Bordetella bronchiseptica
C0085467,bact,Acinetobacter calcoaceticus
C0085468,bact,Moraxella bovis
C0085469,bact,Burkholderia cepacia
C0085470,bact,Pseudomonas putida
C0085472,bact,Agrobacterium tumefaciens
